2015-06-30 11:45:52,176, DEBUG, subprocess call: 'pa273_v1.py'
2015-06-30 13:18:45,288,                                     INFO,  ---------------------- root (main.py)                 --------------------------------
2015-06-30 13:18:45,288,                                     DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-30 13:32:06,858,                                     INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py)                 --------------------------------
2015-06-30 13:32:06,859,                                     DEBUG, subprocess call: 'pa273_v1.py'
2015-06-30 13:32:21,585,                                     INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py)                 --------------------------------
2015-06-30 13:32:21,585,                                     DEBUG, subprocess call: 'pa273_v1.py'
2015-06-30 13:32:40,039,                                     INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py)                 --------------------------------
2015-06-30 13:32:40,039,                                     DEBUG, subprocess call: 'pa273_v1.py'
2015-06-30 13:32:53,947,                                     INFO,  ---------------------- root (C:\Users\fredr_000\Git\PA273-Potentiostat-Software\main.py)                 --------------------------------
2015-06-30 13:32:53,947,                                     DEBUG, subprocess call: 'pa273_v1.py'
2015-06-30 13:33:00,690,                                     INFO,  ---------------------- root (main.py)                 --------------------------------
2015-06-30 13:33:00,690,                                     DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-30 13:34:26,207,                                     INFO,  ---------------------- root (main.py)                 --------------------------------
2015-06-30 13:34:26,207,                                     DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-30 13:35:04,812,                                     INFO,  ---------------------- root (main.py)                 --------------------------------
2015-06-30 13:35:04,813,                                     DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-30 13:39:07,219,                                     INFO,  ---------------------- root (main.py)                 --------------------------------
2015-06-30 13:39:07,219,                                     DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-30 13:39:14,003,                                     INFO,  ---------------------- root (main.py)                 --------------------------------
2015-06-30 13:39:14,003,                                     DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-30 13:41:50,661,                                     INFO,  ---------------------- root (main.py)                 --------------------------------
2015-06-30 13:41:50,661,                                     DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-30 13:43:27,196,                                     INFO,  ---------------------- root (main.py)                 --------------------------------
2015-06-30 13:43:27,196,                                     DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-30 13:47:03,829,                                     INFO,  ---------------------- root (main.py)                 --------------------------------
2015-06-30 13:47:03,829,                                     DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-30 13:47:11,944,                                     INFO,  ---------------------- root (main.py)                 --------------------------------
2015-06-30 13:47:11,944,                                     DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-30 13:47:27,392,                                     INFO,  ---------------------- root (main.py)                 --------------------------------
2015-06-30 13:47:27,392,                                     DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-30 13:51:31,230,                                     INFO,  ---------------------- root (main.py)                 --------------------------------
2015-06-30 13:51:31,230,                                     DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-30 13:59:37,891,                                     INFO,  ---------------------- root (main.py)                 --------------------------------
2015-06-30 13:59:37,891,                                     DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-30 14:01:38,312,                                     INFO,  ---------------------- root (main.py)                 --------------------------------
2015-06-30 14:01:38,312,                                     DEBUG, subprocess call: 'pa273_v1.py-s'
2015-06-30 14:02:04,176,                                     INFO,  ---------------------- root (main.py)                 --------------------------------
2015-06-30 14:02:04,176,                                     DEBUG, subprocess call: 'pa273_v1.py -s'
2015-06-30 14:06:14,785,                                     INFO,  ---------------------- root (main.py)                 --------------------------------
2015-06-30 14:06:14,786,                                     DEBUG, subprocess call: 'python pa273_v1.py -s'
